hip_angle,knee_angle,hip_force_y,knee_force_y,hip_force_x,knee_force_x,hip_force_z,knee_force_z,hip_torque,knee_torque
-6.25948,18.2716,0.545432,-0.00580934,0.309613,0.131347,1.40586,0.561904,-2.30181,2.28733
-6.32647,18.1778,0.509491,0.0168457,0.284019,0.107955,1.42703,0.557987,-1.57079,1.09353
-6.3754,18.1061,0.49822,0.0225469,0.260758,0.111545,1.45768,0.565136,-1.63396,1.10404
-6.40296,18.0681,0.528293,-0.00148357,0.264054,0.152385,1.47783,0.585263,-4.06095,3.16776
-6.44729,17.9694,0.579908,-0.0393443,0.306616,0.200715,1.46961,0.606913,-6.78725,5.48006
-6.48479,17.9182,0.588527,-0.0556723,0.349432,0.203951,1.43745,0.606099,-7.27958,5.79866
-6.50094,17.8886,0.565173,-0.0367105,0.346903,0.161208,1.4121,0.584463,-5.03858,4.09503
-6.51747,17.8194,0.581357,-0.00549696,0.273909,0.119123,1.43153,0.564531,-1.7825,2.14136
-6.51587,17.8446,0.67676,0.0133671,0.161287,0.121786,1.49708,0.567796,-2.55285,1.88146
-6.51799,17.8253,0.753391,0.00618096,0.0931799,0.154872,1.54755,0.582756,-3.85443,3.16458
-6.51827,17.8526,0.683891,-0.0184418,0.190135,0.189551,1.51628,0.601109,-6.03471,4.73761
-3.94296,17.8641,0.460123,-0.0428594,0.424569,0.186364,1.4043,0.602784,-7.12601,4.97289
-3.91524,17.8692,0.337588,-0.0372114,0.540286,0.14295,1.33333,0.584999,-4.75729,3.30105
-3.90961,17.8815,0.37129,-0.0147637,0.489844,0.0987262,1.33693,0.561974,-0.890296,1.53355
-3.86757,17.9155,0.486795,-0.00147129,0.377807,0.100653,1.38404,0.556038,-1.30843,1.32974
-3.81919,17.9579,0.578251,-0.0028768,0.291977,0.132709,1.4356,0.565178,-2.35167,2.27728
-3.7405,17.9871,0.613388,-0.0118006,0.2612,0.16818,1.46662,0.578142,-3.41316,3.69904
-3.68143,18.0246,0.618471,-0.0217269,0.269543,0.192186,1.46896,0.585165,-5.98166,4.53692
-3.62844,18.0511,0.609463,-0.0253353,0.284642,0.193784,1.45092,0.581527,-5.19038,4.60585
-3.58649,18.1026,0.599334,-0.0201478,0.285137,0.181748,1.42904,0.572656,-4.39387,4.05639
-3.54261,18.2003,0.598919,-0.0112765,0.277359,0.172002,1.41641,0.56605,-4.03248,3.48621
-3.51773,18.171,0.603397,-0.00668112,0.272208,0.168086,1.41898,0.565602,-3.6343,3.30237
-3.4746,18.1846,0.605524,-0.00620645,0.27923,0.170737,1.43311,0.571226,-3.63368,3.71209
-3.438,18.1889,0.605402,-0.00899194,0.291448,0.17549,1.44761,0.578646,-4.24487,3.97964
-3.40322,18.1866,0.590232,-0.0133228,0.301801,0.173168,1.45236,0.581512,-4.16053,3.89974
-3.38297,18.1863,0.564835,-0.0168675,0.305768,0.163589,1.44516,0.578484,-3.8936,3.54503
-3.36901,18.1829,0.543799,-0.0187499,0.30331,0.152205,1.43287,0.572513,-3.83288,2.96708
-3.39847,18.1686,0.53663,-0.0183177,0.298873,0.145061,1.42287,0.567892,-3.14816,2.96896
-3.32378,18.1689,0.54178,-0.0162041,0.298657,0.147773,1.42443,0.569304,-3.50904,3.20799
-3.33513,18.1717,0.573091,-0.0133894,0.294547,0.157053,1.44113,0.575836,-3.97489,3.49415
-3.3059,18.1715,0.597831,-0.0120577,0.291442,0.165378,1.45707,0.581839,-4.54007,3.71441
-3.26904,18.18,0.599552,-0.0144585,0.295119,0.168513,1.4571,0.582886,-5.04049,3.6668
-3.23934,18.2003,0.588794,-0.0209039,0.306287,0.168475,1.44054,0.579562,-5.4973,3.77069
-3.19274,18.2122,0.568226,-0.0260465,0.315838,0.16476,1.42021,0.573781,-4.56708,4.01869
-3.16977,18.2327,0.544788,-0.0224994,0.312336,0.155043,1.41239,0.568945,-3.35054,4.01384
-3.14107,18.263,0.550236,-0.00918906,0.296444,0.142589,1.42537,0.570029,-2.94807,3.2756
-3.05473,18.2936,0.566816,0.000563741,0.282299,0.140747,1.45076,0.577452,-2.15724,2.80645
-2.96838,18.3367,0.596316,-0.00389347,0.278494,0.162669,1.46815,0.588051,-4.21945,3.40752
-2.8613,18.3814,0.607563,-0.0165364,0.286074,0.181281,1.46316,0.590836,-5.66808,3.89547
-2.75609,18.4255,0.587534,-0.0238952,0.30101,0.175496,1.43806,0.581967,-5.23232,3.83841
-2.61502,18.4748,0.559177,-0.0240647,0.314438,0.157033,1.41248,0.568612,-4.39811,3.27417
-2.49101,18.5293,0.550164,-0.0205776,0.31835,0.147074,1.40509,0.561578,-3.50263,2.87432
-2.35976,18.5777,0.551353,-0.015213,0.309773,0.150816,1.42333,0.565151,-3.74469,2.81557
-2.22569,18.6444,0.556721,-0.0108477,0.300444,0.162883,1.45328,0.575602,-4.57734,2.85431
-2.08592,18.6822,0.565308,-0.0104184,0.301009,0.174114,1.47302,0.585163,-5.4046,3.16537
-1.93832,18.7265,0.565061,-0.0119337,0.313586,0.173414,1.47071,0.586478,-5.42694,3.23668
-1.82444,18.7746,0.543809,-0.0124739,0.330158,0.158914,1.45128,0.578509,-4.22498,3.18138
-1.71482,18.8143,0.524647,-0.0121276,0.342299,0.143392,1.4268,0.567826,-3.04771,3.11691
-1.62674,18.8439,0.527628,-0.0133495,0.34548,0.139764,1.41402,0.562027,-3.54457,2.65121
-1.53443,18.8742,0.548433,-0.0161828,0.338625,0.151606,1.42396,0.565501,-4.05622,3.0917
-1.43297,18.9145,0.574698,-0.0197163,0.329817,0.172368,1.45029,0.57669,-5.4053,3.84272
-1.34554,18.9303,0.586877,-0.0231609,0.326958,0.185903,1.468,0.586087,-6.29724,4.31388
-1.26843,18.9733,0.575613,-0.02618,0.333714,0.182314,1.45642,0.58461,-5.67328,4.64173
-1.22573,18.9975,0.551833,-0.0297105,0.347648,0.163783,1.41775,0.572551,-5.19726,3.897
-1.16078,19.0366,0.526304,-0.029786,0.361706,0.141145,1.37969,0.558165,-4.60568,2.87274
-1.09402,19.0918,0.508939,-0.0239367,0.372954,0.122173,1.3701,0.550573,-3.36037,2.08041
-1.01064,19.183,0.499471,-0.0137754,0.385256,0.108706,1.39314,0.552562,-2.85262,1.43605
-0.863376,19.2214,0.511693,-0.00895971,0.396946,0.110231,1.43547,0.564719,-2.70581,1.70792
-0.854845,19.3228,0.547533,-0.0172992,0.400685,0.137672,1.47724,0.586292,-4.14012,2.90674
-0.674,19.5032,0.589796,-0.0325415,0.398588,0.181594,1.48902,0.607,-7.28244,4.70807
-0.584654,19.6179,0.602328,-0.0401256,0.388571,0.201136,1.45751,0.604081,-7.23975,5.49505
-0.506571,19.7502,0.580815,-0.0271828,0.366407,0.18333,1.40897,0.57789,-6.7422,4.0247
-0.421621,19.8509,0.559682,-0.00309186,0.326829,0.156794,1.38572,0.549683,-4.05766,2.47713
-0.447028,19.9736,0.584377,0.011824,0.279669,0.165502,1.41002,0.546298,-3.16572,2.38585
-0.364702,20.1,0.63755,0.00991792,0.246956,0.207738,1.45707,0.565581,-6.10009,3.73789
-0.296692,20.1856,0.667041,0.000967416,0.237069,0.242488,1.48087,0.580637,-7.03156,5.17679
-0.171178,20.2482,0.664011,-0.00651351,0.246055,0.250517,1.46301,0.579725,-7.91184,5.55111
-0.149311,20.2881,0.652041,-0.0110926,0.259472,0.237416,1.42282,0.567089,-7.38306,5.33332
-0.130178,20.3175,0.651094,-0.0112288,0.268633,0.21639,1.39014,0.55359,-5.57553,4.53705
